xx,TRADE_DATE,SECURITY_CODE,SECURITY_ABBR,CALL_VOLUME,PUT_VOLUME,TOTAL_VOLUME,LEAVES_CALL_QTY,LEAVES_PUT_QTY,LEAVES_QTY,CJ_PC,CCL_PC
2.02e+13,20230331,300,IO,45510,32039,77549,70986,68652,139638,70.4,96.71
2.02e+13,20230331,852,MO,22990,18379,41369,38029,37470,75499,79.94,98.53
2.02e+13,20230331,16,HO,18884,11639,30523,28254,17428,45682,61.63,61.68
2.02e+13,20230403,510050,50ETF,833750,647178,1480928,1030920,937584,1968504,77.62,90.95
2.02e+13,20230403,510300,300ETF,667335,557085,1224420,604739,698904,1303643,83.48,115.57
2.02e+13,20230403,510500,500ETF,242123,208227,450350,261505,334317,595822,86.0,127.84
2.02e+13,20230403,159901,深证100ETF,43396,31075,74471,47255,46872,94127,71.61,99.19
2.02e+13,20230403,159915,创业板ETF,493787,412458,906245,458129,412879,871008,83.53,90.12
2.02e+13,20230403,159919,沪深300ETF,86191,67064,153255,96439,120516,216955,77.81,124.97
2.02e+13,20230403,159922,中证500ETF,40946,42668,83614,54919,67815,122734,104.21,123.48
2.02e+13,20230403,300,IO,51036,38704,89740,69217,70837,140054,75.84,102.34
